N1;N314;N279;N312;D1806;D1801;N345;D1811;D1812;D1802;D1803;N18;N133;N346_old;D3_1;N350;D3;N134;N347;N138;N139;N559;N560;N561;N562;N1_1;D1804;N557;D40;D41;N314_2;N346;N459;N10;D3101;D3217;N1002;D1752;N279_1;N1128;N1030;N14;N1_2;D40_2;D41_2;N1158;D428;N279_2;D3_2;D09;N1626;N269_1;N269_2;D85;D306;N279_3;IsMerge;IsDouble;FID_Entity;N2043;N2047;RC;RN;D428_1;N2218;FID_Filial_no_head;N2260;SYNC;D85_SYNC;D85_TCUN;D428_1P
494;96;8601;1;False;;;True;True;;;ИЧФ "МИГУЛИН И К";False;;;False;         ;8601002776;;271  32454;;True;False;False;False;0;;False;30.06.1992 0:00:00;;96;;;;;False;;;8601;;;;;30.06.1992 0:00:00;;True;0;8601;         ;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;0;;;;
495;635;8601;1;False;;;True;True;;;ТОО "ЛЮДМИЛА И К";False;;860101001;False;860101001;8601002783;;271  31560; ;False;False;False;False;0;;False;06.07.1994 0:00:00;07.03.2017 0:00:00;635;;;;;False;1178617003542;;8601;07.03.2017 0:00:00;;86038;103436;30.06.1992 0:00:00;07.03.2017 0:00:00;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;21.06.2017 0:29:00;;0;0;8863960;2;;;;1177;;;1;1;21.06.2017 0:29:00;10.12.2014 0:00:00;1177
496;257;8601;1;False;;86;True;True;;;ООО "СПЕКТР";False;;;False;860101001;8601002790;05.08.1999 0:00:00; ;21578;False;False;False;False;0;;False;30.06.1994 0:00:00;24.03.2005 0:00:00;257;0014126;;;;False;1028600511840;24.03.2005 12:33:00;8601;24.11.2002 0:00:00;;86025;7849;30.06.1994 0:00:00;24.03.2005 0:00:00;True;0;8601;860101001;0;;0;4;11.07.2007 19:06:00;03.07.2014 20:02:00;;0;0;3774403;3;1;;;;;;;;;;
497;610610;5503;1;False;;86;True;False;;;ООО ФИРМА "КПД";False;;;False;550301001;8601002800;25.02.2005 0:00:00;3812 3812;284557;True;False;False;False;0;;False;25.11.2004 0:00:00;;610610;000863991;;;;False;1028600517043;;8601;30.12.2002 0:00:00;;55046;4990;30.06.1992 0:00:00;;True;0;5503;550301001;0;;0;382;11.07.2007 19:06:00;24.09.2014 16:51:00;;0;0;3885166;3;1;;;;;;1;;;;
499;638;0   ;1;False;;;False;False;;;ФИЛИАЛ АОЗТ "РОСТ";False;;;False;         ;8601002825;;271 242827;;True;False;False;False;0;;False;29.07.1994 0:00:00;;638;;;;;False;;;0   ;;;;;29.07.1994 0:00:00;;True;0;0   ;;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;;;;;
500;639;8601;1;False;;;True;True;;;АССОЦИАЦИЯ АВТОНОМНЫХ ОКРУГОВ РФ;False;;;False;860101020;8601002832;;271  30600; ;False;False;False;False;0;;False;02.08.1994 0:00:00;03.09.2012 0:00:00;639;;;;;False;1128601003453;03.09.2012 0:00:00;8601;03.09.2012 0:00:00;;86025;7849;02.08.1994 0:00:00;03.09.2012 0:00:00;True;0;8601;860101020;0;;0;382;11.07.2007 19:06:00;02.09.2014 8:14:00;;0;0;;;;;;;;;0;;;;
501;87;8601;1;False;;;True;True;;;ИЧП "ФИЛАТОВ И К";False;;;False;860101001;8601002840;;271  36329; ;False;False;False;False;0;;False;24.01.1994 0:00:00;31.10.2007 0:00:00;87;;;;;False;1078601000213;;8601;22.01.2007 0:00:00;;86025;7849;24.01.1994 0:00:00;31.10.2007 0:00:00;True;0;8601;860101001;0;;0;4;11.07.2007 19:06:00;03.07.2014 20:02:00;;0;0;231917;3;1;;;;;;;;;;
502;443;8601;1;False;;;True;True;;;ТОО "ПАРУС";False;;;False;860101010;8601002857;;271  36673; ;False;False;False;False;0;;False;24.03.1993 0:00:00;08.08.2012 0:00:00;443;;;;;False;1128601003189;08.08.2012 0:00:00;8601;08.08.2012 0:00:00;;86025;7849;24.03.1993 0:00:00;08.08.2012 0:00:00;True;0;8601;860101010;0;;0;382;11.07.2007 19:06:00;02.09.2014 8:14:00;;0;0;;;;;;;;;0;;;;
503;642;8601;1;False;;;True;True;;;ТОО "ПАМИР";False;;;False;860101001;8601002864;;271  31068; ;False;False;False;False;0;;False;14.07.1994 0:00:00;06.04.2012 0:00:00;642;;;;;False;1128601001210;06.04.2012 0:00:00;8601;06.04.2012 0:00:00;;86025;7849;14.07.1994 0:00:00;06.04.2012 0:00:00;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;10.06.2016 13:01:00;;0;0;683892;3;1;;;;;;0;;;;
504;146;8601;1;False;;;True;True;;;ТОО "ГРИФ";False;;;False;860101010;8601002871;;271  43485; ;False;False;False;False;0;;False;27.01.1993 0:00:00;10.07.2009 0:00:00;146;;;;;False;;;8601;;;86001;553;27.01.1993 0:00:00;10.07.2009 0:00:00;True;0;;860101010;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;;;;;
505;586;8601;1;False;;;True;True;;;ТОО "СОЮЗ";False;;;False;860101001;8601002889;;271  31665; ;False;False;False;False;0;;False;15.12.1993 0:00:00;14.01.2012 0:00:00;586;;;;;False;1128601000241;14.01.2012 0:00:00;8601;14.01.2012 0:00:00;;86025;7849;15.12.1993 0:00:00;14.01.2012 0:00:00;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;10.06.2016 13:01:00;;0;0;3060166;3;1;;;;;;0;;;;
506;644;8601;1;False;;;True;True;;;ТОО "ЮГРА-ТРЕЙД ЛТД";False;;;False;860101001;8601002896;;271  42397; ;False;False;False;False;0;;False;20.07.1994 0:00:00;30.12.2011 0:00:00;644;;;;;False;1118601004037;30.12.2011 0:00:00;8601;30.12.2011 0:00:00;;86025;7849;20.07.1994 0:00:00;30.12.2011 0:00:00;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;16.10.2015 9:41:00;;0;0;7276610;3;1;;;;;;0;;;;
507;600;8601;1;False;;;True;True;;;ТОО ФИРМА "АТЛАНТ";False;;;False;860101010;8601002906;;271  32402; ;False;False;False;False;0;;False;15.02.1994 0:00:00;10.07.2009 0:00:00;600;;;;;False;;;8601;;;86001;553;15.02.1994 0:00:00;10.07.2009 0:00:00;True;0;;860101010;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;;;;;
508;309;8601;1;False;;86;True;True;;;ХАНТЫ-МАНСИЙСКАЯ ЛИНЕЙНАЯ БОЛЬНИЦА;False;;;False;860101001;8601002913;29.03.2000 0:00:00;271  36232; ;False;False;False;False;0;;False;11.08.1994 0:00:00;28.12.2001 0:00:00;309;0033492;;;;False;;30.04.2002 15:39:00;8601;;;;;11.08.1994 0:00:00;28.12.2001 0:00:00;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;;;;;
509;1224080;8601;1;False;;86;True;True;;;АО "ХМНП";False;;860101001;False;860101001;8601002920;04.02.2010 0:00:00;3467333495;271  33701;True;False;False;False;0;;True;16.12.1992 0:00:00;;1224080;001831759;;;;False;1028600509090;;8601;21.09.2002 0:00:00;;86038;103436;30.06.1992 0:00:00;;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;24.01.2018 11:15:00;;0;0;3772235;1;;;;1178;;;1;1;24.01.2018 11:15:00;24.02.2015 0:00:00;1178
510;654;8601;1;False;;;True;True;;;ТОО "ИНПАКО";False;;;False;860101001;8601002938;;271  42850; ;True;False;False;False;0;;False;30.06.1992 0:00:00;;654;;;;;False;1138601000416;19.02.2013 0:00:00;8601;19.02.2013 0:00:00;;86025;7849;30.06.1992 0:00:00;;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;02.09.2014 8:14:00;;0;0;7757112;1;;;;;;;1;;;;
511;653;8601;1;False;;;True;True;;;ТОО "ВИСАЖ ЛТД";False;;;False;         ;8601002945;;271  40719;;True;False;False;False;0;;False;30.06.1992 0:00:00;;653;;;;;False;;;8601;;;;;30.06.1992 0:00:00;;True;0;8601;         ;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;0;;;;
512;660;0   ;1;False;;;True;False;;;ФИЛИАЛ АОЗТ "ОРГСИБ";False;;;False;         ;8601002952;;271  41071;;True;False;False;False;0;;False;11.08.1994 0:00:00;;660;;;;;False;;;0   ;;;;;11.08.1994 0:00:00;;True;0;0   ;;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;;;;;
513;661;8601;1;False;;;True;True;;;ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ОХРАННОЕ  ПРЕДПРИЯТИЕ "ЗАЩИТА";False;;;False;860101001;8601002960;;271  30224; ;False;False;False;False;0;;False;15.08.1994 0:00:00;21.10.2011 0:00:00;661;;;;;False;1118601002761;21.10.2011 0:00:00;8601;21.10.2011 0:00:00;;86025;7849;15.08.1994 0:00:00;21.10.2011 0:00:00;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;14.10.2015 11:06:00;;0;0;7200192;3;1;;;;;;0;;;;
514;662;8601;1;False;;;True;True;;;КОММЕРЧЕСКИЙ ЦЕНТР "ЭНАП";False;;;False; ;8601002977;;271  40104;;True;False;False;False;0;;False;30.06.1992 0:00:00;;662;;;;;False;;;8601;;;;;30.06.1992 0:00:00;;True;0;8601;         ;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;0;;;;
515;663;8601;1;False;;;True;True;;;ГП "МОСУМ";False;;;False; ;8601002984;;271  41268;;True;False;False;False;0;;False;30.06.1992 0:00:00;;663;;;;;False;;;8601;;;;;30.06.1992 0:00:00;;True;0;8601;         ;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;0;;;;
516;664;8601;1;False;;;True;True;;;ТОО "ФАСАД";False;;;False;860101001;8601002991;;271  32031; ;False;False;False;False;0;;False;18.08.1994 0:00:00;30.12.2011 0:00:00;664;;;;;False;1118601003982;30.12.2011 0:00:00;8601;30.12.2011 0:00:00;;86025;7849;18.08.1994 0:00:00;30.12.2011 0:00:00;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;16.10.2015 9:41:00;;0;0;7157336;3;1;;;;;;0;;;;
517;326;8601;1;False;;86;True;True;;;ООО "ИЗУМРУД";False;;;False;860101001;8601003000;27.09.1999 0:00:00;291  41585; ;False;False;False;False;0;;False;10.01.1994 0:00:00;02.09.2002 0:00:00;326;0014215;;;;False;;02.09.2002 8:56:00;8601;;;;;10.01.1994 0:00:00;02.09.2002 0:00:00;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;;;;;
518;349;8601;1;False;;;True;True;;;ТОО "ФУНДАМЕНТ";False;;;False;860101001;8601003018;;271  43997; ;False;False;False;False;0;;False;01.10.1992 0:00:00;04.05.2012 0:00:00;349;;;;;False;1128601001572;04.05.2012 0:00:00;8601;04.05.2012 0:00:00;;86025;7849;01.10.1992 0:00:00;04.05.2012 0:00:00;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;10.06.2016 13:01:00;;0;0;684181;3;1;;;;;;0;;;;
519;108;8601;1;False;;86;True;True;;;УЧРЕЖДЕНИЕ ХАНТЫ-МАНСИЙСКОГО АВТОНОМНОГО ОКРУГА ФОНД СОЦИАЛЬНОЙ ПОДДЕРЖКИ НАСЕЛЕНИЯ;False;;;False;860101001;8601003025;10.02.2004 0:00:00; ;40370;False;False;False;False;0;;False;30.11.2002 0:00:00;24.08.2005 0:00:00;108;00829589;;;;False;1028600512434;24.08.2005 13:42:00;8601;30.11.2002 0:00:00;;86025;7849;30.11.2002 0:00:00;24.08.2005 0:00:00;True;0;8601;860101001;0;;0;4;11.07.2007 19:06:00;03.07.2014 20:02:00;;0;0;3782866;3;1;;;;;;;;;;
520;266;8601;1;False;;;True;True;;;ПРЕДПРИЯТИЕ "ОЛИМП";False;;;False;860101001;8601003032;;271  41578; ;False;False;False;False;0;;False;31.08.1991 0:00:00;30.12.2011 0:00:00;266;;;;;False;1118601003971;30.12.2011 0:00:00;8601;30.12.2011 0:00:00;;86025;7849;31.08.1991 0:00:00;30.12.2011 0:00:00;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;16.10.2015 9:41:00;;0;0;7255527;3;1;;;;;;0;;;;
521;312;8601;1;False;;86;True;True;;;СЕВЕРНЫЙ ФОНД ХМАО;False;;;False;860101001;8601003040;21.02.2000 0:00:00;271  41580; ;False;False;False;False;0;;False;19.07.1999 0:00:00;27.07.2007 0:00:00;312;0014647;;;;False;;20.08.2001 13:04:00;8601;;;;;19.07.1999 0:00:00;27.07.2007 0:00:00;True;0;8601;860101001;0;;0;657;11.07.2007 19:06:00;18.09.2015 20:27:00;;0;0;;;;;;;;;;;;;
522;85;8601;1;False;;;True;True;;;ТОО "999";False;;860101001;False;860101001;8601003057;;271  40690; ;False;False;False;False;0;;False;14.07.1993 0:00:00;22.06.2017 0:00:00;85;;;;;False;1178617010967;;8601;22.06.2017 0:00:00;22.06.2017 0:00:00;86038;103436;30.06.1992 0:00:00;22.06.2017 0:00:00;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;22.06.2017 15:05:00;;0;0;8863897;2;;;;1177;;;1;1;22.06.2017 15:05:00;10.12.2014 0:00:00;1177
523;627;8601;1;False;;;True;True;;;АОЗТ "ТОРГСИБ";False;;;False;860101001;8601003064;;271  31618; ;False;False;False;False;0;;False;06.05.1994 0:00:00;04.05.2012 0:00:00;627;;;;;False;1128601001583;04.05.2012 0:00:00;8601;04.05.2012 0:00:00;;86025;7849;06.05.1994 0:00:00;04.05.2012 0:00:00;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;10.06.2016 13:01:00;;0;0;684189;3;1;;;;;;0;;;;
524;613;8601;1;False;;;True;True;;;ЗАО "СИБГЕОЦЕНТР";False;;860101001;False;860101001;8601003071;;271  31618; ;False;False;False;False;0;;False;06.05.1994 0:00:00;22.06.2017 0:00:00;613;;;;;False;1178617010880;;8601;22.06.2017 0:00:00;22.06.2017 0:00:00;86038;103436;30.06.1992 0:00:00;22.06.2017 0:00:00;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;22.06.2017 15:06:00;;0;0;8863959;2;;;;1177;;;1;1;22.06.2017 15:05:00;10.12.2014 0:00:00;1177
525;667;8601;1;False;;;True;True;;;МП "УПТВС и ИС-3";False;;;False;         ;8601003089;;271  36565;;True;False;False;False;0;;False;30.06.1992 0:00:00;;667;;;;;False;;;8601;;;;;30.06.1992 0:00:00;;True;0;8601;         ;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;0;;;;
526;170;8601;1;False;;;False;False;;;МУНИЦИПАЛЬНОЕ ПРЕДПРИЯТИЕ "ОЗОН";False;;;False;         ;8601003096;;271  42827; ;False;False;False;False;0;;False;;10.10.1997 0:00:00;170;;;;;False;1028600516944;;8601;30.12.2002 0:00:00;;86025;104364;;10.10.1997 0:00:00;True;0;;         ;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;;;;;
527;441;8601;1;False;;;True;True;;;ИНДИВИДУАЛЬНАЯ ЧАСТНАЯ ФИРМА "ДУБРОВИН И К";False;;;False;860101001;8601003113;;271  32522; ;False;False;False;False;0;;False;23.12.1993 0:00:00;07.10.2011 0:00:00;441;;;;;False;1118601002156;07.10.2011 0:00:00;8601;07.10.2011 0:00:00;;86025;7849;23.12.1993 0:00:00;07.10.2011 0:00:00;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;14.10.2015 11:07:00;;0;0;277560;3;1;;;;;;0;;;;
528;365;8601;1;False;;;True;True;;;АССОЦИАЦИЯ "СПАСЕНИЕ ЮГРЫ" ГОРОДСКОЕ ОТДЕЛЕНИЕ;False;;;False;860101020;8601003120;;271  41556; ;False;False;False;False;0;;False;31.08.1990 0:00:00;08.08.2012 0:00:00;365;;;;;False;1128601003057;08.08.2012 0:00:00;8601;08.08.2012 0:00:00;;86025;7849;31.08.1990 0:00:00;08.08.2012 0:00:00;True;0;8601;860101020;0;;0;382;11.07.2007 19:06:00;02.09.2014 8:14:00;;0;0;;;;;;;;;0;;;;
529;691;8601;1;False;;;True;True;;;АООТ"ХАНТЫМАНСИЙСКРЕЧТОРГ"ДП АО"ТЮМЕНЬРЕЧТОРГ";False;;860101001;False;860101001;8601003138;;271  41787; ;False;False;False;False;0;;False;13.01.1994 0:00:00;22.06.2017 0:00:00;691;;;;;False;1178617011088;;8601;22.06.2017 0:00:00;22.06.2017 0:00:00;86038;103436;30.06.1992 0:00:00;22.06.2017 0:00:00;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;22.06.2017 15:05:00;;0;0;8863958;2;;;;1177;;;1;1;22.06.2017 15:05:00;10.12.2014 0:00:00;1177
530;653565;8601;1;False;;86;True;True;;;ООО ФИРМА "ЮЛИЯ";False;;860101001;False;860101001;8601003145;06.07.2006 0:00:00;34671 34671;50111;False;False;False;False;0;;False;17.11.2002 0:00:00;15.03.2017 0:00:00;653565;000933389;;;;False;1028600511170;;8601;17.11.2002 0:00:00;15.03.2017 0:00:00;86038;103436;30.06.1992 0:00:00;15.03.2017 0:00:00;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;15.03.2017 18:22:00;;0;0;3773814;1;;;;1177;;;1;1;15.03.2017 18:21:00;10.12.2014 0:00:00;1177
531;323;8601;1;False;;86;True;True;;;ГОСУАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ХАНТЫ-МАНСИЙСКОГО АВТОНОМНОГО ОКРУГА "УПРАВЛЕНИЕ ПРОИЗВОДСТВЕННО ТЕХНИЧЕСКОГО ОБЕСПЕЧЕНИЯ И КОМПЛЕКТАЦИИ";False;;;False;860101001;8601003152;26.07.1999 0:00:00;271  50434;271  50431;False;False;False;False;0;;False;24.09.2002 0:00:00;25.09.2006 11:38:00;323;0014092;;;;False;1028600513985;27.02.2006 0:00:00;8601;14.12.2002 0:00:00;;86025;7849;24.08.1994 0:00:00;25.09.2006 11:38:00;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;07.11.2017 16:02:00;;0;0;3784289;3;1;;;;;;0;;;;
532;19697852;8601;1;False;;86;True;True;;;САДОВОДЧЕСКОЕ ТСН "ГЕОФИЗИК";False;;860101001;False;860101001;8601003160;05.05.2011 0:00:00;34671 34671;33173;True;False;False;False;0;;False;31.05.1988 0:00:00;;19697852;002161984;;;;False;1028600512621;;8601;02.12.2002 0:00:00;;86038;103436;31.05.1988 0:00:00;;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;13.02.2018 5:31:00;;0;0;3783063;1;;;;1177;;;1;1;13.02.2018 5:31:00;10.12.2014 0:00:00;1177
533;159;8601;1;False;;86;True;True;;;УПРАВЛЕНИЕ СОЦИАЛЬНОЙ ЗАЩИТЫ НАСЕЛЕНИЯ АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД ХАНТЫ-МАНСИЙСК;False;;;False;860101001;8601003177;29.03.2006 0:00:00;34671 34671;31570;False;False;False;True;0;;False;13.12.2002 0:00:00;06.07.2011 0:00:00;159;001052811;;;;False;1028600513864;06.07.2011 0:00:00;8601;13.12.2002 0:00:00;;86025;7849;30.04.1992 0:00:00;06.07.2011 0:00:00;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;16.10.2015 9:49:00;;0;0;3784183;3;1;;;;;;0;;;29.06.2014 15:49:00;
534;1351161;8601;1;False;;86;True;True;;;УПРАВЛЕНИЕ АПК ХМАО-ЮГРЫ;False;;860101001;False;860101001;8601003184;17.05.2010 0:00:00;3467334966;34966;False;False;False;False;0;;False;21.09.2000 0:00:00;10.02.2016 0:00:00;1351161;001834962;;;;False;1028600512082;12.09.2012 0:00:00;8601;26.11.2002 0:00:00;10.02.2016 0:00:00;86038;103436;29.07.1992 0:00:00;10.02.2016 0:00:00;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;27.02.2017 12:20:00;;0;0;3782562;1;;;;1178;;;1;1;13.11.2016 8:04:00;24.02.2015 0:00:00;1178
535;679;8601;1;False;;;True;True;;;ТОО "РИР";False;;;False;860101001;8601003191;;271  41914; ;False;False;False;False;0;;False;05.07.1994 0:00:00;30.12.2011 0:00:00;679;;;;;False;1118601003950;30.12.2011 0:00:00;8601;30.12.2011 0:00:00;;86025;7849;05.07.1994 0:00:00;30.12.2011 0:00:00;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;16.10.2015 9:51:00;;0;0;7255528;3;1;;;;;;0;;;;
536;655;8601;1;False;;;True;True;;;ТОО "КАРАТ ЛТД";False;;;False;860101010;8601003201;;271  40867; ;False;False;False;False;0;;False;15.06.1994 0:00:00;24.05.2001 0:00:00;655;;;;;False;;;8601;;;;;15.06.1994 0:00:00;24.05.2001 0:00:00;True;0;8601;860101010;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;;;;;
537;672;8601;1;False;;;True;True;;;ТОО КОМПАНИЯ "ЮГРАНЕФТЬ-ИНВЕСТ";False;;;False;860101001;8601003219;;271  32522; ;False;False;False;False;0;;False;25.04.1994 0:00:00;27.12.2001 0:00:00;672;;;;;False;;;8601;;;;;25.04.1994 0:00:00;27.12.2001 0:00:00;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;;;;;
538;93;0   ;1;False;;;False;False;;;"ХАНТЫМАНСИЙСКАВИА" ФИЛИАЛ ОАО "ТЮМЕНЬАВИАТРАНС";False;;;False;         ;8601003226;;271  21973;271  21973;False;False;False;False;0;;False;04.03.1992 0:00:00;16.11.1998 0:00:00;93;;;;;False;;;0   ;;;;;04.03.1992 0:00:00;16.11.1998 0:00:00;True;0;0   ;;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;;;;;
539;703;8601;1;False;;86;True;True;;;ООО "АЛЬКОФ";False;;;False;860101001;8601003233;12.07.1999 0:00:00;271  32456; ;False;False;False;False;0;;False;20.04.1994 0:00:00;14.04.2003 0:00:00;703;0014051;;;;False;1038600000372;14.04.2003 14:56:00;8601;07.02.2003 0:00:00;;86025;7849;20.04.1994 0:00:00;14.04.2003 0:00:00;True;0;8601;860101001;0;;0;4;11.07.2007 19:06:00;03.07.2014 20:02:00;;0;0;6282163;3;1;;;;;;;;;;
540;1502943;8601;1;False;;86;True;True;;;ДЕПСПОРТ ЮГРЫ;False;;860101001;False;860101001;8601003240;01.09.2010 0:00:00;34671 34671;30541;True;False;False;False;0;;False;23.12.2002 0:00:00;;1502943;001837794;;;;False;1028600515283;;8601;23.12.2002 0:00:00;;86038;103436;31.01.1992 0:00:00;;True;0;8601;860101001;0;;0;555;11.07.2007 19:06:00;29.01.2018 17:05:00;;0;0;3883566;1;;;;1177;;;1;1;14.11.2016 4:15:00;24.02.2015 0:00:00;1177
541;653369;8601;1;False;;86;True;True;;;Депкультуры Югры;False;;860101001;False;860101001;8601003258;03.08.2010 0:00:00;34671 34671;92384;True;False;False;False;0;;False;11.10.1996 0:00:00;;653369;001837180;;;;False;1028600514821;;8601;20.12.2002 0:00:00;;86038;103436;28.02.1991 0:00:00;;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;15.01.2018 9:35:00;;0;0;3883152;1;;;;1178;;;1;1;10.02.2017 8:35:00;24.02.2015 0:00:00;1178
542;533;8601;1;False;;;True;True;;;ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ФИРМА "АНЧАР";False;;;False;860101001;8601003265;;271  32506; ;False;False;False;False;0;;False;19.08.1992 0:00:00;20.10.2011 0:00:00;533;;;;;False;1118601002662;20.10.2011 0:00:00;8601;20.10.2011 0:00:00;;86025;7849;19.08.1992 0:00:00;20.10.2011 0:00:00;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;16.10.2015 9:52:00;;0;0;297466;3;1;;;;;;0;;;;
543;353;8601;1;False;;86;True;True;;;ХАНТЫМАНСИЙСКГОСКОМЭКОЛОГИЯ;False;;;False;860101001;8601003272;29.11.1999 0:00:00;271  32907;;True;False;False;False;0;;False;30.06.1992 0:00:00;;353;0014321;;;;False;;;8601;;;;;30.06.1992 0:00:00;;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;1;;;;
544;461;8601;1;False;;;True;True;;;ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ФИРМА "МАРС";False;;;False;860101001;8601003280;; ; ;False;False;False;False;0;;False;12.12.1991 0:00:00;20.10.2011 0:00:00;461;;;;;False;1118601002630;20.10.2011 0:00:00;8601;20.10.2011 0:00:00;;86025;7849;12.12.1991 0:00:00;20.10.2011 0:00:00;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;16.10.2015 9:53:00;;0;0;297448;3;1;;;;;;0;;;;
545;709;8601;1;False;;;True;True;;;ТОО ФИРМА "ТАВРИДА";False;;;False;860101010;8601003297;;271  41981;;False;False;False;False;0;;False;16.09.1994 0:00:00;30.12.2011 0:00:00;709;;;;;False;1118601003927;30.12.2011 0:00:00;8601;30.12.2011 0:00:00;;86025;7849;16.09.1994 0:00:00;30.12.2011 0:00:00;True;0;8601;860101010;0;;0;382;11.07.2007 19:06:00;16.10.2015 9:54:00;;0;0;;;;;;;;;0;;;;
546;223;8601;1;False;;;True;True;;;ИЧФ "ЧЕРНЫШОВ И СЫНОВЬЯ";False;;;False;         ;8601003307;;271  41763;;True;False;False;False;0;;False;30.06.1992 0:00:00;;223;;;;;False;;;8601;;;;;30.06.1992 0:00:00;;True;0;8601;         ;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;0;;;;
547;228;8601;1;False;;86;True;True;;;ОАО "ЭЛЬГОР-НАФТА-ХАНТЫ-МАНСИЙСК";False;;;False;860101001;8601003314;29.10.2001 0:00:00;148-33-52; ;False;False;False;False;0;;False;17.05.1993 0:00:00;30.12.2011 0:00:00;228;00684952;;;;False;1118601004048;30.12.2011 0:00:00;8601;30.12.2011 0:00:00;;86025;7849;17.05.1993 0:00:00;30.12.2011 0:00:00;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;16.10.2015 9:54:00;;0;0;7156932;3;1;;;;;;0;;;;
548;696;0;1;False;;;True;False;;;ФИЛИАЛ НЕГОСУДАРСТВ.ПЕНСИОННОГО ФОНДА "ОТЧИЗНА";False;;;False; ;8601003321;;271  30209;;True;False;False;False;0;;False;16.09.1994 0:00:00;;696;;;;;False;;;0;;;;;16.09.1994 0:00:00;;True;0;0   ;;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;;;;;
549;685;8601;1;False;;;True;True;;;ИЧФ "БОГАТЫРЕВ И К";False;;;False;860101001;8601003339;;271  33611; ;False;False;False;False;0;;False;27.09.1994 0:00:00;29.10.2001 0:00:00;685;;;;;False;;;8601;;;;;27.09.1994 0:00:00;29.10.2001 0:00:00;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;;;;;
